Protein.Group	Protein.Names	Genes	First.Protein.Description	N.Sequences	N.Proteotypic.Sequences	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_01_20250302190913.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_02.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_03.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_19.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_20.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_21.raw	Z:\ms-data\mrc-bstral\2025\02_Feburary\20250228\250302_RN-KDL_Set6-Hippo_TP_DIA_22.raw
Q8BTG3	T11L1_MOUSE	Tcp11l1	T-complex protein 11-like protein 1	22	22	6.84E+06	6.73E+06	6.76E+06	4.86E+06	8.16E+06	7.32E+06	7.57E+06
Q8BTG7-2	NDRG4_MOUSE	Ndrg4	Isoform 2 of Protein NDRG4	2	2	9.16E+06	1.26E+07	1.14E+07	7.33E+06	1.19E+07	1.64E+07	1.18E+07
Q8BTG7-3	NDRG4_MOUSE	Ndrg4	Isoform 3 of Protein NDRG4	17	17	4.18E+07	4.50E+07	4.73E+07	2.79E+07	4.08E+07	4.89E+07	4.62E+07
Q8BTH8	KC1G1_MOUSE	Csnk1g1	Casein kinase I isoform gamma-1	19	12	6.51E+06	6.53E+06	6.81E+06	4.61E+06	6.73E+06	7.60E+06	7.43E+06
Q8BTI7	ANR52_MOUSE	Ankrd52	Serine/threonine-protein phosphatase 6 regulatory ankyrin repeat subunit C	8	8	688327	746640	1.05E+06	598864	1.06E+06	859509	1.06E+06
Q8BTI8	SRRM2_MOUSE	Srrm2	Serine/arginine repetitive matrix protein 2	54	54	1.66E+07	1.73E+07	1.64E+07	1.25E+07	1.99E+07	2.00E+07	2.01E+07
Q8BTI9	PK3CB_MOUSE	Pik3cb	"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	34	33	1.15E+07	1.10E+07	1.05E+07	8.84E+06	1.20E+07	1.36E+07	1.34E+07
Q8BTJ4;Q8BTJ4-2	ENPP4_MOUSE	Enpp4	Bis(5'-adenosyl)-triphosphatase enpp4	8	7	2.29E+06	2.48E+06	2.22E+06	2.16E+06	3.01E+06	3.27E+06	3.08E+06
Q8BTK5	SMYD4_MOUSE	Smyd4	SET and MYND domain-containing protein 4	5	5	1.35E+06	1.35E+06	1.55E+06	829568	1.83E+06	1.62E+06	1.98E+06
Q8BTM8	FLNA_MOUSE	Flna	Filamin-A	125	114	2.07E+07	2.38E+07	1.87E+07	1.49E+07	2.62E+07	2.53E+07	4.38E+07
Q8BTN6	LENG9_MOUSE	Leng9	Leukocyte receptor cluster member 9	3	3	60193.6		103582		40478	46916.2	49387.8
Q8BTP0	PIGZ_MOUSE	Pigz	GPI mannosyltransferase 4	3	3	11075.6	10612.7	8421.19	12376.6	16037.6		
Q8BTR5	DUS28_MOUSE	Dusp28	Dual specificity phosphatase 28	7	7	6.35E+06	6.25E+06	5.37E+06	4.13E+06	5.57E+06	6.14E+06	6.34E+06
Q8BTS4	NUP54_MOUSE	Nup54	Nuclear pore complex protein Nup54	19	19	8.74E+06	8.78E+06	8.78E+06	6.12E+06	1.08E+07	1.09E+07	9.55E+06
Q8BTT6	UTP25_MOUSE	Utp25	U3 small nucleolar RNA-associated protein 25 homolog	5	5	167717	199555	174594	103683	168566	147285	153121
Q8BTU1	CFA20_MOUSE	Cfap20	Cilia- and flagella-associated protein 20	10	10	7.98E+06	9.35E+06	8.10E+06	5.23E+06	8.39E+06	9.33E+06	8.51E+06
Q8BTV1	TUSC3_MOUSE	Tusc3	Tumor suppressor candidate 3	9	9	8.76E+06	8.01E+06	8.60E+06	5.67E+06	8.36E+06	9.44E+06	9.54E+06
Q8BTV2;Q8BTV2-2	CPSF7_MOUSE	Cpsf7	Cleavage and polyadenylation specificity factor subunit 7	15	15	8.31E+06	8.15E+06	8.52E+06	5.47E+06	9.24E+06	9.18E+06	9.43E+06
Q8BTW3	EXOS6_MOUSE	Exosc6	Exosome complex component MTR3	10	10	4.03E+06	3.99E+06	4.22E+06	2.80E+06	4.89E+06	4.96E+06	4.45E+06
Q8BTW8	CK5P1_MOUSE	Cdk5rap1	Mitochondrial tRNA methylthiotransferase CDK5RAP1	2	2	340215	402460	347932		340468	357506	
Q8BTW9	PAK4_MOUSE	Pak4	Serine/threonine-protein kinase PAK 4	14	14	1.27E+06	1.46E+06	1.27E+06	1.17E+06	1.72E+06	1.96E+06	1.92E+06
Q8BTX9	HSDL1_MOUSE	Hsdl1	Inactive hydroxysteroid dehydrogenase-like protein 1	18	18	2.30E+07	2.19E+07	2.43E+07	1.43E+07	2.18E+07	2.68E+07	2.60E+07
Q8BTY1	KAT1_MOUSE	Kyat1	Kynurenine--oxoglutarate transaminase 1	16	16	7.49E+06	7.70E+06	7.27E+06	4.87E+06	7.56E+06	8.71E+06	7.87E+06
Q8BTY2	S4A7_MOUSE	Slc4a7	Sodium bicarbonate cotransporter 3	27	27	3.51E+07	3.76E+07	3.25E+07	2.69E+07	4.39E+07	4.10E+07	4.03E+07
Q8BTY2-2	S4A7_MOUSE	Slc4a7	Isoform 2 of Sodium bicarbonate cotransporter 3	2	2	206051	175128	141112	88257.9	176407	262115	145662
Q8BTY8	SCFD2_MOUSE	Scfd2	Sec1 family domain-containing protein 2	25	25	4.36E+07	4.08E+07	4.37E+07	3.02E+07	4.52E+07	4.86E+07	4.46E+07
Q8BTZ4	APC5_MOUSE	Anapc5	Anaphase-promoting complex subunit 5	33	33	1.72E+07	1.79E+07	1.79E+07	1.20E+07	1.90E+07	1.98E+07	2.01E+07
Q8BTZ5	ANR46_MOUSE	Ankrd46	Ankyrin repeat domain-containing protein 46	5	5	4.09E+06	4.38E+06	4.13E+06	2.91E+06	4.13E+06	5.05E+06	4.39E+06
Q8BTZ7	GMPPB_MOUSE	Gmppb	Mannose-1-phosphate guanyltransferase beta	17	17	1.97E+07	2.01E+07	2.08E+07	1.56E+07	2.22E+07	2.29E+07	2.18E+07
Q8BU03	PWP2_MOUSE	Pwp2	Periodic tryptophan protein 2 homolog	7	7	1.79E+06	1.75E+06	2.55E+06	1.61E+06	2.91E+06	2.78E+06	2.22E+06
Q8BU04	UBR7_MOUSE	Ubr7	Putative E3 ubiquitin-protein ligase UBR7	7	7	897658	752137	808005	459814	738830	1.07E+06	859424
Q8BU11	TOX4_MOUSE	Tox4	TOX high mobility group box family member 4	9	6	1.70E+07	1.61E+07	1.50E+07	1.12E+07	1.78E+07	1.81E+07	1.83E+07
Q8BU14	SEC62_MOUSE	Sec62	Translocation protein SEC62	12	12	5.49E+06	5.40E+06	5.72E+06	4.47E+06	6.26E+06	6.07E+06	6.50E+06
Q8BU25	PAMR1_MOUSE	Pamr1	Inactive serine protease PAMR1	2	2							
Q8BU27	PPM1M_MOUSE	Ppm1m	Protein phosphatase 1M	3	3	13108.3	23855.3	22094.4	13271.7	22254.6		19065.3
Q8BU30	SYIC_MOUSE	Iars1	"Isoleucine--tRNA ligase, cytoplasmic"	63	63	9.75E+07	9.72E+07	9.85E+07	6.92E+07	1.00E+08	1.06E+08	1.06E+08
Q8BU31	RAP2C_MOUSE	Rap2c	Ras-related protein Rap-2c	9	8	1.19E+07	1.19E+07	1.20E+07	8.33E+06	1.14E+07	1.43E+07	1.19E+07
Q8BU33	HACL2_MOUSE	Ilvbl	2-hydroxyacyl-CoA lyase 2	20	20	2.71E+06	2.80E+06	2.53E+06	2.04E+06	3.24E+06	3.15E+06	3.06E+06
Q8BU85	MSRB3_MOUSE	Msrb3	"Methionine-R-sulfoxide reductase B3, mitochondrial"	4	4	169445	166677	220616		168610	196956	342107
Q8BU88	RM22_MOUSE	Mrpl22	"39S ribosomal protein L22, mitochondrial"	9	9	4.85E+06	4.65E+06	4.92E+06	3.94E+06	5.38E+06	5.28E+06	5.34E+06
Q8BUB4	WDFY2_MOUSE	Wdfy2	WD repeat and FYVE domain-containing protein 2	13	13	1.34E+06	1.04E+06	1.14E+06	822350	1.23E+06	1.22E+06	1.26E+06
Q8BUB6	UST_MOUSE	Ust	Uronyl 2-sulfotransferase	7	7	1.92E+06	2.00E+06	2.00E+06	1.45E+06	1.78E+06	2.01E+06	2.58E+06
Q8BUE1	SL9A4_MOUSE	Slc9a4	Sodium/hydrogen exchanger 4	1	1	32818.1	50067.2	63608.7	35034.4	32675	66325.3	
Q8BUE4	FSP1_MOUSE	Aifm2	Ferroptosis suppressor protein 1	11	11	770906	878310	847230	531444	884546	940511	979824
Q8BUH1	TXN4B_MOUSE	Txnl4b	Thioredoxin-like protein 4B	2	2		154242	208956	132565	224798	134453	
Q8BUH8	SENP7_MOUSE	Senp7	Sentrin-specific protease 7	25	25	8.51E+06	8.24E+06	8.50E+06	6.23E+06	9.42E+06	9.69E+06	8.80E+06
Q8BUI3	LRWD1_MOUSE	LRWD1	Leucine-rich repeat and WD repeat-containing protein 1	4	4	36673.2	25427.2	37588.3	17938.4		42578.2	31271.7
Q8BUJ9;Q8BUJ9-2	LRP12_MOUSE	Lrp12	Low-density lipoprotein receptor-related protein 12	4	4	88021.3	64592.6		30720.2	84294.5	78523.5	133195
Q8BUK6	HOOK3_MOUSE	Hook3	Protein Hook homolog 3	44	44	1.59E+07	1.67E+07	1.72E+07	1.22E+07	1.82E+07	1.96E+07	2.05E+07
Q8BUL5	KLHL7_MOUSE	Klhl7	Kelch-like protein 7	2	2	963366	559332	1.21E+06	1.09E+06	1.88E+06	1.70E+06	1.11E+06
Q8BUL6	PKHA1_MOUSE	Plekha1	Pleckstrin homology domain-containing family A member 1	16	16	1.86E+06	1.89E+06	1.69E+06	1.14E+06	1.79E+06	2.10E+06	2.11E+06
Q8BUM6	F163B_MOUSE	Fam163b	Protein FAM163B	3	3	2.45E+06	2.10E+06	1.71E+06	1.83E+06	1.92E+06	2.51E+06	2.22E+06
Q8BUM9	UBP43_MOUSE	Usp43	Ubiquitin carboxyl-terminal hydrolase 43	2	2	124588	102746	83658.9	78980.8	104286	119401	159673
Q8BUN5	SMAD3_MOUSE	Smad3	Mothers against decapentaplegic homolog 3	15	6	9.11E+06	9.47E+06	8.90E+06	6.27E+06	9.21E+06	1.09E+07	9.49E+06
Q8BUN9-2	NCKX2_MOUSE	Slc24a2	Isoform 2 of Sodium/potassium/calcium exchanger 2	20	20	5.50E+07	4.76E+07	4.21E+07	3.48E+07	4.87E+07	4.80E+07	4.53E+07
Q8BUN9-5	NCKX2_MOUSE	Slc24a2	Isoform 5 of Sodium/potassium/calcium exchanger 2	5	5	7.55E+06	6.17E+06	5.99E+06	4.85E+06	6.80E+06	6.50E+06	5.47E+06
Q8BUR3-2;Q8BUR3	FOXJ3_MOUSE	Foxj3	Forkhead box protein J3	7	6	1.80E+06	2.58E+06	2.16E+06	1.47E+06	2.11E+06	2.79E+06	2.70E+06
Q8BUR4	DOCK1_MOUSE	Dock1	Dedicator of cytokinesis protein 1	68	65	2.16E+07	2.18E+07	1.89E+07	1.57E+07	2.36E+07	2.29E+07	2.44E+07
Q8BUV3	GEPH_MOUSE	Gphn	Gephyrin	52	52	7.10E+07	6.85E+07	6.47E+07	5.04E+07	7.35E+07	7.83E+07	7.51E+07
Q8BUV6	LSM11_MOUSE	Lsm11	U7 snRNA-associated Sm-like protein LSm11	9	9	4.08E+06	3.32E+06	4.05E+06	3.33E+06	4.30E+06	3.89E+06	5.15E+06
Q8BUV8	GP107_MOUSE	Gpr107	Protein GPR107	8	8	1.01E+06	1.14E+06	1.14E+06	783383	1.02E+06	1.12E+06	1.28E+06
Q8BUY5	TIDC1_MOUSE	Timmdc1	"Complex I assembly factor TIMMDC1, mitochondrial"	11	11	1.67E+07	1.35E+07	1.47E+07	9.92E+06	1.36E+07	1.74E+07	1.37E+07
Q8BUY8	GASP2_MOUSE	Gprasp2	G-protein coupled receptor-associated sorting protein 2	24	24	8.30E+07	8.60E+07	1.00E+08	6.21E+07	8.90E+07	1.12E+08	1.08E+08
Q8BUY9	PGTB1_MOUSE	Pggt1b	Geranylgeranyl transferase type-1 subunit beta	7	7	6.44E+06	5.92E+06	6.16E+06	5.08E+06	5.96E+06	6.67E+06	6.13E+06
Q8BV13	CSN7B_MOUSE	Cops7b	COP9 signalosome complex subunit 7b	10	10	4.46E+06	4.52E+06	4.56E+06	3.10E+06	4.51E+06	5.52E+06	5.32E+06
Q8BVA2	TM222_MOUSE	Tmem222	Transmembrane protein 222	5	5	1.30E+06	1.26E+06	1.22E+06	916115	1.37E+06	1.22E+06	1.01E+06
Q8BVA4	LMOD1_MOUSE	Lmod1	Leiomodin-1	6	6	986531	1.11E+06	660308		1.16E+06	1.26E+06	2.75E+06
Q8BVA5	LDAH_MOUSE	Ldah	Lipid droplet-associated hydrolase	10	10	5.01E+07	4.45E+07	4.70E+07	2.21E+07	4.01E+07	5.39E+07	4.46E+07
Q8BVD5	MPP7_MOUSE	Mpp7	MAGUK p55 subfamily member 7	11	11	543054	546641	692920	409894	996237	986494	555351
Q8BVE3	VATH_MOUSE	Atp6v1h	V-type proton ATPase subunit H	38	38	4.39E+08	4.30E+08	4.30E+08	2.85E+08	4.07E+08	4.69E+08	4.23E+08
Q8BVE8;Q8BVE8-2	NSD2_MOUSE	Nsd2	Histone-lysine N-methyltransferase NSD2	7	7	183621	230523	158984	117752	151404	156516	280443
Q8BVF2	PDCL3_MOUSE	Pdcl3	Phosducin-like protein 3	10	10	8.13E+07	7.19E+07	7.15E+07	5.35E+07	7.83E+07	8.51E+07	8.95E+07
Q8BVF7;Q8BVF7-2	APH1A_MOUSE	Aph1a	Gamma-secretase subunit APH-1A	2	2	602185	665941	715603	458170	629896	757085	574287
Q8BVG4	DPP9_MOUSE	Dpp9	Dipeptidyl peptidase 9	32	32	9.57E+06	9.65E+06	1.01E+07	7.15E+06	1.03E+07	1.12E+07	1.08E+07
Q8BVG5	GLT14_MOUSE	Galnt14	Polypeptide N-acetylgalactosaminyltransferase 14	2	2	80032.3	197707	218608	86049	218979		348435
Q8BVG8	NAT14_MOUSE	Nat14	Probable N-acetyltransferase 14	8	8	6.03E+06	5.72E+06	5.87E+06	4.38E+06	6.07E+06	6.06E+06	6.02E+06
Q8BVH9-3;Q8BVH9;Q8BVH9-2	METL6_MOUSE	Mettl6	tRNA N(3)-methylcytidine methyltransferase METTL6	2	2	207227	334762		166133	324359		192187
Q8BVI4	DHPR_MOUSE	Qdpr	Dihydropteridine reductase	16	16	2.29E+08	2.25E+08	2.03E+08	1.63E+08	2.23E+08	2.47E+08	2.27E+08
Q8BVI5	STX16_MOUSE	Stx16	Syntaxin-16	13	13	8.51E+06	7.11E+06	7.37E+06	5.02E+06	7.15E+06	8.51E+06	7.44E+06
Q8BVL3	SNX17_MOUSE	Snx17	Sorting nexin-17	17	17	5.83E+06	5.54E+06	5.70E+06	4.71E+06	6.25E+06	6.89E+06	6.61E+06
Q8BVL9	JKIP1_MOUSE	Jakmip1	Janus kinase and microtubule-interacting protein 1	30	30	8.94E+06	8.46E+06	8.13E+06	6.05E+06	8.06E+06	9.00E+06	8.92E+06
Q8BVN4	MTEF4_MOUSE	Mterf4	"Transcription termination factor 4, mitochondrial"	3	3	226503	158820	162101	108091	267067	228007	186912
Q8BVN8	IDLC_MOUSE	Dnali1	Axonemal dynein light intermediate polypeptide 1	3	3		2804.63		5507.29	11201.1	15946.1	
Q8BVP5	KC1G2_MOUSE	Csnk1g2	Casein kinase I isoform gamma-2	7	7	4.94E+06	5.56E+06	4.86E+06	2.98E+06	5.05E+06	4.80E+06	5.10E+06
Q8BVQ5	PPME1_MOUSE	Ppme1	Protein phosphatase methylesterase 1	18	18	3.95E+07	4.43E+07	4.04E+07	3.10E+07	4.74E+07	5.01E+07	4.81E+07
Q8BVR6	RSPRY_MOUSE	Rspry1	RING finger and SPRY domain-containing protein 1	10	10	2.36E+06	3.01E+06	3.03E+06	1.82E+06	2.71E+06	3.04E+06	3.15E+06
Q8BVU0	LRCH3_MOUSE	Lrch3	DISP complex protein LRCH3	11	11	3.08E+06	2.91E+06	3.20E+06	1.78E+06	3.09E+06	2.81E+06	3.35E+06
Q8BVU5	NUDT9_MOUSE	Nudt9	"ADP-ribose pyrophosphatase, mitochondrial"	15	14	5.62E+07	6.23E+07	5.68E+07	4.34E+07	6.69E+07	6.43E+07	7.21E+07
Q8BVV7	CEP95_MOUSE	Cep95	Centrosomal protein of 95 kDa	1	1	1.42E+07	1.02E+07	2.04E+07	1.92E+06	1.76E+07	6.87E+06	1.27E+07
Q8BVW0	GANC_MOUSE	Ganc	Neutral alpha-glucosidase C	21	21	1.31E+06	1.34E+06	1.28E+06	986792	1.55E+06	1.63E+06	1.70E+06
Q8BVW0-2	GANC_MOUSE	Ganc	Isoform 2 of Neutral alpha-glucosidase C	1	1	259155	206579	183616	113846	227619	192451	333338
Q8BVY0	RL1D1_MOUSE	Rsl1d1	Ribosomal L1 domain-containing protein 1	13	13	4.06E+06	3.97E+06	3.69E+06	2.33E+06	3.88E+06	4.59E+06	4.30E+06
Q8BVZ5	IL33_MOUSE	Il33	Interleukin-33	14	14	3.45E+06	2.93E+06	2.47E+06	2.12E+06	3.39E+06	3.26E+06	3.19E+06
Q8BW00	PTH_MOUSE	Ptrh1	Probable peptidyl-tRNA hydrolase	6	6	853260	784465	783063	644307	1.08E+06	1.12E+06	1.38E+06
Q8BW10	NOB1_MOUSE	Nob1	RNA-binding protein NOB1	7	7	1.67E+07	1.78E+07	1.96E+07	1.52E+07	2.11E+07	1.99E+07	2.52E+07
Q8BW22	CREST_MOUSE	Ss18l1	Calcium-responsive transactivator	5	5	2.29E+06	2.23E+06	2.12E+06	1.32E+06	2.25E+06	2.79E+06	2.80E+06
Q8BW41	PMGT2_MOUSE	Pomgnt2	"Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2"	20	20	4.86E+07	5.27E+07	5.11E+07	3.26E+07	5.07E+07	5.82E+07	6.06E+07
Q8BW56	GTDC1_MOUSE	Gtdc1	Glycosyltransferase-like domain-containing protein 1	10	10	3.05E+06	2.83E+06	3.38E+06	2.54E+06	3.74E+06	4.52E+06	3.55E+06
Q8BW70	UBP38_MOUSE	Usp38	Ubiquitin carboxyl-terminal hydrolase 38	17	17	1.62E+06	2.03E+06	1.55E+06	1.30E+06	1.89E+06	2.10E+06	2.02E+06
Q8BW72;Q8BW72-2	KDM4A_MOUSE	Kdm4a	Lysine-specific demethylase 4A	2	2	34507	46071.7	21852.3	76925.8	108597	52628.3	31839.3
Q8BW75	AOFB_MOUSE	Maob	Amine oxidase [flavin-containing] B	28	28	4.73E+07	4.97E+07	4.91E+07	3.52E+07	5.45E+07	5.44E+07	5.32E+07
Q8BW96	KCC1D_MOUSE	Camk1d	Calcium/calmodulin-dependent protein kinase type 1D	27	23	5.17E+07	5.24E+07	4.27E+07	4.23E+07	5.10E+07	5.58E+07	5.44E+07
Q8BW96-2	KCC1D_MOUSE	Camk1d	Isoform 2 of Calcium/calmodulin-dependent protein kinase type 1D	3	3	2.24E+06	2.68E+06	2.19E+06	2.02E+06	2.68E+06	2.66E+06	2.84E+06
Q8BWA8	ARHGJ_MOUSE	Arhgef19	Rho guanine nucleotide exchange factor 19	3	3	10924.4	10208.1	13655	6732.36		14333	14323.7
Q8BWB6	STEA2_MOUSE	Steap2	Metalloreductase STEAP2	2	2							31704
Q8BWD8	CDK19_MOUSE	Cdk19	Cyclin-dependent kinase 19	8	4	1.49E+06	1.55E+06	1.25E+06	825470	1.47E+06	1.49E+06	1.33E+06
Q8BWF0	SSDH_MOUSE	Aldh5a1	"Succinate-semialdehyde dehydrogenase, mitochondrial"	36	36	2.14E+08	2.27E+08	2.35E+08	1.68E+08	2.27E+08	2.53E+08	2.61E+08
Q8BWG8	ARRB1_MOUSE	Arrb1	Beta-arrestin-1	31	29	1.94E+07	1.96E+07	1.87E+07	1.41E+07	2.18E+07	2.09E+07	2.21E+07
Q8BWG9	CRCM1_MOUSE	Orai1	Calcium release-activated calcium channel protein 1	1	1		212069	357262	181723	307522	330686	366758
Q8BWH0	S38A7_MOUSE	Slc38a7	Sodium-coupled neutral amino acid transporter 7	4	4	4.27E+06	3.50E+06	4.23E+06	3.47E+06	5.27E+06	3.95E+06	3.90E+06
Q8BWJ3	KPB2_MOUSE	Phka2	"Phosphorylase b kinase regulatory subunit alpha, liver isoform"	22	22	1.77E+07	1.95E+07	1.82E+07	1.51E+07	2.06E+07	2.14E+07	2.19E+07
Q8BWL5;Q8BWL5-2;Q8BWL5-3;Q8BWL5-4;Q8BWL5-5;Q8BWL5-6	RBMS3_MOUSE	Rbms3	"RNA-binding motif, single-stranded-interacting protein 3"	1	1	31861.9	41700.2	38497.6	31611.5	41198.8	37560.1	51276.8
Q8BWM0	PGES2_MOUSE	Ptges2	Prostaglandin E synthase 2	25	25	1.87E+07	1.91E+07	1.80E+07	1.32E+07	2.08E+07	2.17E+07	2.15E+07
Q8BWP5	TTPA_MOUSE	Ttpa	Alpha-tocopherol transfer protein	6	6	1.03E+06	1.20E+06	1.44E+06	1.33E+06	1.51E+06	2.22E+06	1.63E+06
Q8BWP8	B4GA1_MOUSE	B4gat1	"Beta-1,4-glucuronyltransferase 1"	12	12	2.87E+06	2.66E+06	2.84E+06	1.97E+06	2.78E+06	3.09E+06	3.09E+06
Q8BWQ6	VP35L_MOUSE	Vps35l	VPS35 endosomal protein-sorting factor-like	46	46	2.20E+07	2.28E+07	2.17E+07	1.62E+07	2.24E+07	2.45E+07	2.59E+07
Q8BWR2	PITH1_MOUSE	Pithd1	PITH domain-containing protein 1	16	16	3.11E+07	3.14E+07	3.07E+07	2.31E+07	3.50E+07	3.27E+07	3.00E+07
Q8BWR4	UBP40_MOUSE	Usp40	Ubiquitin carboxyl-terminal hydrolase 40	2	2	13233.2	18210.1	21458.5	10316.4	31276		12566.5
Q8BWR8	RHPN2_MOUSE	Rhpn2	Rhophilin-2	13	13	3.32E+06	3.44E+06	2.67E+06	2.38E+06	4.18E+06	4.23E+06	4.69E+06
Q8BWS5	GRIN3_MOUSE	Gprin3	G protein-regulated inducer of neurite outgrowth 3	33	33	6.70E+06	6.89E+06	6.94E+06	3.88E+06	6.82E+06	6.87E+06	7.50E+06
Q8BWT1	THIM_MOUSE	Acaa2	"3-ketoacyl-CoA thiolase, mitochondrial"	29	29	8.10E+07	8.49E+07	8.48E+07	5.78E+07	1.07E+08	9.58E+07	9.91E+07
Q8BWT5	DIP2A_MOUSE	Dip2a	Disco-interacting protein 2 homolog A	53	53	2.19E+08	2.03E+08	2.15E+08	1.37E+08	2.09E+08	2.20E+08	2.26E+08
Q8BWU3	F131A_MOUSE	Fam131a	Protein FAM131A	9	9	3.90E+06	3.28E+06	3.48E+06	2.55E+06	4.08E+06	4.06E+06	3.28E+06
Q8BWU5	OSGEP_MOUSE	Osgep	tRNA N6-adenosine threonylcarbamoyltransferase	15	15	3.76E+06	3.81E+06	3.57E+06	2.85E+06	4.47E+06	4.33E+06	4.02E+06
Q8BWU8	AT2L1_MOUSE	Etnppl	Ethanolamine-phosphate phospho-lyase	18	18	3.10E+07	3.57E+07	2.55E+07	3.42E+07	4.48E+07	4.89E+07	4.98E+07
Q8BWW4	LARP4_MOUSE	Larp4	La-related protein 4	18	18	1.76E+06	1.58E+06	1.66E+06	934722	1.65E+06	1.93E+06	1.69E+06
Q8BWW9	PKN2_MOUSE	Pkn2	Serine/threonine-protein kinase N2	21	21	2.34E+06	2.42E+06	2.36E+06	1.84E+06	2.56E+06	3.00E+06	2.84E+06
Q8BWY3	ERF1_MOUSE	Etf1	Eukaryotic peptide chain release factor subunit 1	21	21	1.49E+07	1.52E+07	1.46E+07	1.16E+07	1.71E+07	1.78E+07	1.74E+07
Q8BWY4	MBLC1_MOUSE	Mblac1	Metallo-beta-lactamase domain-containing protein 1	5	5	429286	404970	400264	233695	452558	380144	443649
Q8BWY7	S39AB_MOUSE	Slc39a11	Zinc transporter ZIP11	4	4	836757	1.02E+06	886058	846897	1.03E+06	973343	922399
Q8BWZ3	NAA25_MOUSE	Naa25	"N-alpha-acetyltransferase 25, NatB auxiliary subunit"	37	37	1.92E+07	1.84E+07	1.76E+07	1.42E+07	1.99E+07	1.91E+07	2.01E+07
Q8BX02	KANK2_MOUSE	Kank2	KN motif and ankyrin repeat domain-containing protein 2	23	23	3.53E+06	4.27E+06	3.48E+06	2.94E+06	4.09E+06	3.96E+06	5.30E+06
Q8BX09	RBBP5_MOUSE	Rbbp5	Retinoblastoma-binding protein 5	18	18	3.35E+07	3.48E+07	3.07E+07	2.15E+07	3.73E+07	4.03E+07	3.40E+07
Q8BX10	PGAM5_MOUSE	Pgam5	"Serine/threonine-protein phosphatase PGAM5, mitochondrial"	1	1	563207	429885	573946	212126	482304	481432	410313
Q8BX10-2	PGAM5_MOUSE	Pgam5	"Isoform 2 of Serine/threonine-protein phosphatase PGAM5, mitochondrial"	21	21	1.73E+07	1.83E+07	1.82E+07	1.12E+07	1.92E+07	1.75E+07	1.99E+07
Q8BX13	UBE3D_MOUSE	Ube3d	E3 ubiquitin-protein ligase E3D	1	1					53339.9	22119.5	58887.1
Q8BX17	GEMI5_MOUSE	Gemin5	Gem-associated protein 5	48	48	1.18E+07	1.12E+07	1.15E+07	7.29E+06	1.14E+07	1.23E+07	1.22E+07
Q8BX43	TR19L_MOUSE	Relt	Tumor necrosis factor receptor superfamily member 19L	1	1	1.90E+06						
Q8BX57;Q8BX57-2	PXK_MOUSE	Pxk	PX domain-containing protein kinase-like protein	10	10	2.99E+06	2.98E+06	3.15E+06	1.90E+06	3.31E+06	3.25E+06	2.97E+06
Q8BX70	VP13C_MOUSE	Vps13c	Intermembrane lipid transfer protein VPS13C	167	166	3.46E+07	3.19E+07	3.27E+07	2.51E+07	3.36E+07	3.68E+07	3.49E+07
Q8BX70-2	VP13C_MOUSE	Vps13c	Isoform 2 of Intermembrane lipid transfer protein VPS13C	2	2	105777	134621	149868	116452	137283	107761	
Q8BX80	ENASE_MOUSE	Engase	Cytosolic endo-beta-N-acetylglucosaminidase	16	16	2.10E+06	1.89E+06	1.95E+06	1.27E+06	2.61E+06	2.65E+06	2.70E+06
Q8BX90	FND3A_MOUSE	Fndc3a	Fibronectin type-III domain-containing protein 3A	23	23	2.68E+06	2.77E+06	2.75E+06	2.17E+06	3.02E+06	3.84E+06	3.51E+06
Q8BX94	OSBL2_MOUSE	Osbpl2	Oxysterol-binding protein-related protein 2	21	21	1.17E+07	1.18E+07	1.22E+07	8.69E+06	1.23E+07	1.35E+07	1.36E+07
Q8BXA0	LRFN5_MOUSE	Lrfn5	Leucine-rich repeat and fibronectin type-III domain-containing protein 5	21	21	4.61E+06	5.18E+06	4.74E+06	3.25E+06	5.05E+06	4.83E+06	5.84E+06
Q8BXA1	GOLI4_MOUSE	Golim4	Golgi integral membrane protein 4	6	6	251552	194954	153694	173606	164232	195257	218947
Q8BXA5	CLP1L_MOUSE	Clptm1l	Lipid scramblase CLPTM1L	11	11	2.95E+07	2.93E+07	2.87E+07	1.95E+07	3.47E+07	3.18E+07	3.12E+07
Q8BXA7	PHLP2_MOUSE	Phlpp2	PH domain leucine-rich repeat-containing protein phosphatase 2	18	18	1.34E+07	1.48E+07	1.21E+07	9.34E+06	1.39E+07	1.58E+07	1.61E+07
